Orthogroup	1	2	3	4	5	6	7	8	9	10
OG0000050	GO:0016020; GO:0022857 (315)	GO:0006820; GO:0016020; GO:0022857 (80)	GO:0005313; GO:0005326; GO:0006820; GO:0016020; GO:0035249; GO:0050803; GO:0060076; GO:0098700; GO:0098793 (34)	GO:0016020; GO:0016765; GO:0022857 (32)	GO:0016020 (32)					
OG0000051	GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061 (438)	GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061; GO:0016020 (29)	GO:0004553; GO:0005975; GO:0008061 (12)	GO:0004568; GO:0005975; GO:0008061 (4)	GO:0005576; GO:0005975; GO:0008061 (3)	GO:0004553; GO:0005975; GO:0008061; GO:0016020 (2)	GO:0005576; GO:0008061 (2)	GO:0003723; GO:0004568; GO:0005576; GO:0005975; GO:0006032; GO:0008061 (1)		
OG0000052	None									
OG0000053	GO:0000139; GO:0006493; GO:0016020; GO:0016758 (321)	GO:0000139; GO:0006486; GO:0016758 (110)	GO:0006486; GO:0016020; GO:0016758 (23)	GO:0000139; GO:0006486; GO:0007229; GO:0016758 (13)						
OG0000054	None									
OG0000055	GO:0004185; GO:0006508 (447)	GO:0004185; GO:0006508; GO:0016020 (15)	GO:0004185; GO:0006508; GO:0007157; GO:0007229; GO:0016020 (1)							
OG0000056	GO:0003676 (462)									
OG0000057	None									
OG0000058	GO:0004867; GO:0010466 (405)	GO:0004867; GO:0010466; GO:0016020 (52)								
OG0000059	GO:0016020 (456)									
OG0000060	None									
OG0000061	None									
OG0000062	GO:0016020; GO:0022857 (410)	GO:0005840; GO:0016020; GO:0022857; GO:1990904 (31)								
OG0000063	GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017 (142)	GO:0003777; GO:0005524; GO:0007018; GO:0008017; GO:0015630 (126)	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887 (55)	GO:0003777; GO:0005524; GO:0007018; GO:0008017 (39)	GO:0003777; GO:0005524; GO:0005871; GO:0005874; GO:0008017; GO:0008089; GO:0016887; GO:0060271; GO:1904115 (30)	GO:0003777; GO:0005524; GO:0005634; GO:0005815; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0072686; GO:0090307 (24)	GO:0000278; GO:0003777; GO:0005524; GO:0005874; GO:0007018; GO:0008017 (20)	GO:0003777; GO:0005524; GO:0007018; GO:0007049; GO:0008017; GO:0051301 (3)		
